Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides UV control-1	Peptides UV-control-2	Peptides UV-control-3	Peptides UV-test-1	Peptides UV-test-2	Razor + unique peptides UV control-1	Razor + unique peptides UV-control-2	Razor + unique peptides UV-control-3	Razor + unique peptides UV-test-1	Razor + unique peptides UV-test-2	Unique peptides UV control-1	Unique peptides UV-control-2	Unique peptides UV-control-3	Unique peptides UV-test-1	Unique peptides UV-test-2	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type UV control-1	Identification type UV-control-2	Identification type UV-control-3	Identification type UV-test-1	Identification type UV-test-2	Sequence coverage UV control-1 [%]	Sequence coverage UV-control-2 [%]	Sequence coverage UV-control-3 [%]	Sequence coverage UV-test-1 [%]	Sequence coverage UV-test-2 [%]	Intensity	Intensity UV control-1	Intensity UV-control-2	Intensity UV-control-3	Intensity UV-test-1	Intensity UV-test-2	LFQ intensity UV control-1	LFQ intensity UV-control-2	LFQ intensity UV-control-3	LFQ intensity UV-test-1	LFQ intensity UV-test-2	MS/MS count UV control-1	MS/MS count UV-control-2	MS/MS count UV-control-3	MS/MS count UV-test-1	MS/MS count UV-test-2	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
ENSMODG00000006515|ENSMODT00000008252	ENSMODG00000006515|ENSMODT00000008252	5	5	5	ENSMODG00000006515|ENSMODT00000008252	1	5	5	5	3	2	3	0	4	3	2	3	0	4	3	2	3	0	4	10.2	10.2	10.2	93.378	850	850	0	45.634	By MS/MS	By MS/MS	By MS/MS		By MS/MS	6.7	6.1	7.4	0	8.9	3787100	407100	1079100	1098600	0	1202400	209280	130700	122070	0	215050	1	1	3	0	3	8				102	817;841;856;1139;1220	True;True;True;True;True	867;891;907;1213;1294	2303;2341;2342;2343;2344;2380;2381;3104;3105;3106;3322;3323	1530;1562;1563;1564;1590;2071;2199;2200	1530;1564;1590;2071;2200		

ENSMODG00000006574|ENSMODT00000008318	ENSMODG00000006574|ENSMODT00000008318	1	1	1	ENSMODG00000006574|ENSMODT00000008318	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	1.9	1.9	1.9	126.92	1118	1118	0.0071685	5.6449		By matching	By matching		By MS/MS	0	1.9	1.9	0	1.9	640310	0	384680	114470	0	141160	0	0	0	0	27162	0	0	0	0	1	1				103	1201	True	1275	3276;3277;3278	2173	2173		

ENSMODG00000006606|ENSMODT00000008360;ENSMODG00000017619|ENSMODT00000022359	ENSMODG00000006606|ENSMODT00000008360;ENSMODG00000017619|ENSMODT00000022359	6;3	6;3	6;3	ENSMODG00000006606|ENSMODT00000008360;ENSMODG00000017619|ENSMODT00000022359	2	6	6	6	0	6	3	0	0	0	6	3	0	0	0	6	3	0	0	21.8	21.8	21.8	32.485	294	294;197	0	48.377		By MS/MS	By matching			0	21.8	7.5	0	0	2101900	0	1873000	228870	0	0	0	23342	7038.5	0	0	0	6	0	0	0	6				104	804;901;937;1029;1343;1364	True;True;True;True;True;True	854;957;999;1095;1428;1451	2264;2265;2498;2578;2579;2793;2794;3659;3660;3712	1502;1666;1724;1725;1872;2417;2448	1502;1666;1724;1872;2417;2448		

ENSMODG00000006682|ENSMODT00000008449	ENSMODG00000006682|ENSMODT00000008449	4	4	4	ENSMODG00000006682|ENSMODT00000008449	1	4	4	4	0	4	4	0	0	0	4	4	0	0	0	4	4	0	0	32.9	32.9	32.9	8.2147	70	70	0	28.785		By MS/MS	By MS/MS			0	32.9	32.9	0	0	6985100	0	5006600	1978600	0	0	0	75219	35874	0	0	0	4	1	0	0	5				105	214;603;702;1476	True;True;True;True	234;645;751;1567	639;640;1678;1679;1954;1955;1956;1957;3986;3987	424;1116;1309;1310;1311;2630	424;1116;1309;2630		

ENSMODG00000006804|ENSMODT00000008590	ENSMODG00000006804|ENSMODT00000008590	2	2	2	ENSMODG00000006804|ENSMODT00000008590	1	2	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	0	20.9	20.9	20.9	12.814	115	115	0	12.316		By MS/MS	By MS/MS			0	20.9	20.9	0	0	1248600	0	679990	568620	0	0	0	9128.7	12517	0	0	0	1	1	0	0	2				106	1171;1340	True;True	1245;1425	3190;3191;3651;3652	2120;2412	2120;2412		

ENSMODG00000006825|ENSMODT00000008618	ENSMODG00000006825|ENSMODT00000008618	8	1	1	ENSMODG00000006825|ENSMODT00000008618	1	8	1	1	0	6	7	0	3	0	1	1	0	1	0	1	1	0	1	38.3	7.4	7.4	27.086	243	243	0	35.435		By matching	By MS/MS		By matching	0	28.4	33.7	0	15.2	3050300	0	235870	2784600	0	29834	0	0	0	0	5740.4	0	0	3	0	0	3				107	386;388;458;462;891;897;1075;1466	False;False;False;False;True;False;False;False	414;416;417;493;497;943;944;950;951;1142;1556	1104;1105;1108;1109;1110;1295;1296;1304;1305;1306;1307;2464;2465;2466;2467;2468;2489;2490;2925;2926;2927;2928;3963;3964	716;717;720;721;842;848;849;850;1641;1642;1643;1659;1660;1941;1942;1943;2615	716;721;842;849;1643;1660;1943;2615	69;70;71;72	1;10;31;147

ENSMODG00000006882|ENSMODT00000008695	ENSMODG00000006882|ENSMODT00000008695	5	5	5	ENSMODG00000006882|ENSMODT00000008695	1	5	5	5	3	2	2	4	4	3	2	2	4	4	3	2	2	4	4	22.8	22.8	22.8	22.314	202	202	0	37.068	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.8	11.9	11.9	16.3	21.8	17992000	236610	13926000	2872500	336930	620720	133180	343100	60219	41048	54381	0	2	1	3	3	9				108	207;606;650;706;726	True;True;True;True;True	227;648;697;755;775	619;620;621;622;1684;1685;1686;1687;1688;1802;1803;1804;1970;2030;2031	412;1119;1120;1121;1122;1208;1209;1319;1353	412;1119;1209;1319;1353		

ENSMODG00000007186|ENSMODT00000009086	ENSMODG00000007186|ENSMODT00000009086	1	1	1	ENSMODG00000007186|ENSMODT00000009086	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0.2	0.2	0.2	467.35	4083	4083	0.0038314	5.9388		By matching	By MS/MS			0	0.2	0.2	0	0	2897500	0	2558100	339390	0	0	0	0	7420.8	0	0	0	0	1	0	0	1				109	695	True	744	1935;1936	1299	1299	73;74	783;786

ENSMODG00000007463|ENSMODT00000009441	ENSMODG00000007463|ENSMODT00000009441	21	2	2	ENSMODG00000007463|ENSMODT00000009441	1	21	2	2	5	13	12	9	12	0	2	2	1	1	0	2	2	1	1	54.6	10.9	10.9	32.727	284	284	0	18.666	By matching	By matching	By MS/MS	By MS/MS	By matching	19.7	35.9	34.5	23.6	31.3	21350000	0	14252000	6843700	224340	30107	0	0	149640	0	0	0	0	1	1	0	2				110	42;100;131;132;163;197;312;566;642;643;678;717;719;750;751;752;871;885;919;1035;1079	False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False	43;106;140;141;173;216;338;605;688;689;727;766;768;799;800;801;922;936;937;977;1101;1146	109;110;302;303;415;416;417;418;419;420;421;422;499;500;592;593;910;911;1562;1563;1784;1785;1786;1787;1788;1789;1790;1889;1890;1891;1892;1893;2005;2006;2007;2008;2009;2010;2013;2102;2103;2104;2105;2106;2107;2108;2109;2424;2425;2426;2427;2428;2450;2451;2452;2453;2454;2534;2813;2814;2815;2816;2938;2939;2940;2941	77;196;263;264;265;266;267;268;324;325;394;597;1040;1194;1195;1196;1197;1198;1199;1270;1271;1272;1337;1338;1340;1397;1398;1399;1400;1401;1402;1611;1612;1613;1631;1632;1633;1634;1691;1884;1948;1949;1950	77;196;264;268;325;394;597;1040;1196;1199;1270;1338;1340;1398;1399;1402;1611;1634;1691;1884;1950	22	1

ENSMODG00000007872|ENSMODT00000034775	ENSMODG00000007872|ENSMODT00000034775	1	1	1	ENSMODG00000007872|ENSMODT00000034775	1	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0.9	0.9	0.9	263.85	2335	2335	0	10.202	By matching				By MS/MS	0.9	0	0	0	0.9	190670	19931	0	0	0	170740	0	0	0	0	32853	0	0	0	0	1	1				111	1227	True	1302	3339;3340	2213	2213		

ENSMODG00000008055|ENSMODT00000010214	ENSMODG00000008055|ENSMODT00000010214	1	1	1	ENSMODG00000008055|ENSMODT00000010214	1	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0.7	0.7	0.7	156.82	1399	1399	1	-2			By MS/MS			0	0	0.7	0	0	256190	0	0	256190	0	0	0	0	5601.7	0	0	0	0	0	0	0	0	+			112	995	True	1061	2701	1814	1814	75	177

ENSMODG00000008131|ENSMODT00000010306	ENSMODG00000008131|ENSMODT00000010306	1	1	1	ENSMODG00000008131|ENSMODT00000010306	1	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0.7	0.7	0.7	233.68	2074	2074	0	10.629		By MS/MS				0	0.7	0	0	0	166820	0	166820	0	0	0	0	2260.2	0	0	0	0	1	0	0	0	1				113	660	True	707	1827	1224	1224		

ENSMODG00000008155|ENSMODT00000010327	ENSMODG00000008155|ENSMODT00000010327	9	9	9	ENSMODG00000008155|ENSMODT00000010327	1	9	9	9	3	6	6	4	7	3	6	6	4	7	3	6	6	4	7	29.5	29.5	29.5	22.883	220	220	0	93.045	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.8	21.4	21.4	21.4	24.1	64849000	255950	29455000	27392000	3624900	4121900	337190	272280	575140	378720	741330	1	6	5	4	5	21				114	4;97;669;710;740;966;967;1407;1490	True;True;True;True;True;True;True;True;True	4;101;717;759;789;1030;1031;1495;1582	11;12;13;14;15;275;276;277;278;279;280;281;1851;1852;1853;1854;1976;2075;2076;2077;2647;2648;3818;3819;4022;4023;4024;4025	5;6;7;8;9;179;180;181;182;1243;1244;1323;1380;1381;1779;1780;2511;2512;2655;2656;2657	7;182;1244;1323;1381;1779;1780;2511;2656		

ENSMODG00000008167|ENSMODT00000010348;ENSMODG00000023676|ENSMODT00000032721;ENSMODG00000018763|ENSMODT00000023808;ENSMODG00000008631|ENSMODT00000010948;ENSMODG00000008698|ENSMODT00000032120;ENSMODG00000008668|ENSMODT00000010997	ENSMODG00000008167|ENSMODT00000010348;ENSMODG00000023676|ENSMODT00000032721;ENSMODG00000018763|ENSMODT00000023808;ENSMODG00000008631|ENSMODT00000010948;ENSMODG00000008698|ENSMODT00000032120;ENSMODG00000008668|ENSMODT00000010997	6;5;5;5;5;5	1;1;1;1;1;1	1;1;1;1;1;1	ENSMODG00000008167|ENSMODT00000010348;ENSMODG00000023676|ENSMODT00000032721;ENSMODG00000018763|ENSMODT00000023808;ENSMODG00000008631|ENSMODT00000010948;ENSMODG00000008698|ENSMODT00000032120;ENSMODG00000008668|ENSMODT00000010997	6	6	1	1	4	4	4	3	4	1	1	1	0	1	1	1	1	0	1	42.3	14.6	14.6	14.125	130	130;130;130;138;143;143	0	36.095	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	29.2	32.3	32.3	20	29.2	1283500000	122430	1086400000	192030000	0	4876500	0	14736000	3975500	0	935570	1	7	3	0	2	13				115	62;572;822;936;1219;1420	False;False;False;False;False;True	63;611;872;998;1293;1508	163;164;165;166;167;1577;1578;1579;1580;1581;1582;1583;2315;2576;2577;3320;3321;3845;3846;3847;3848;3849;3850;3851;3852;3853;3854;3855;3856;3857;3858;3859;3860;3861	110;111;112;113;114;115;1049;1050;1051;1540;1721;1722;1723;2198;2530;2531;2532;2533;2534;2535;2536;2537;2538;2539;2540;2541;2542	114;1051;1540;1722;2198;2542		

ENSMODG00000008180|ENSMODT00000010369	ENSMODG00000008180|ENSMODT00000010369	33	29	29	ENSMODG00000008180|ENSMODT00000010369	1	33	29	29	6	30	30	9	10	5	26	26	8	8	5	26	26	8	8	17	15.2	15.2	234.02	2016	2016	0	323.31	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.8	15.4	16.2	3.7	5.2	65393000	126010	34089000	25318000	5042800	816560	178710	333430	387260	521790	220760	0	15	21	8	6	50				116	76;89;140;208;209;239;333;334;341;398;479;550;590;679;689;696;707;708;756;775;803;845;848;1034;1066;1076;1097;1142;1168;1213;1257;1307;1310	True;False;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True	79;93;149;228;229;260;360;361;369;429;518;589;631;632;728;738;745;756;757;805;824;853;895;899;1100;1133;1143;1165;1216;1242;1287;1335;1389;1392	205;254;255;437;438;439;440;441;442;623;624;625;626;627;713;714;982;983;984;985;986;987;988;989;990;991;1008;1009;1134;1135;1136;1366;1367;1368;1369;1530;1531;1632;1633;1634;1635;1636;1637;1638;1639;1894;1895;1896;1897;1918;1919;1937;1938;1939;1940;1941;1971;1972;1973;2116;2117;2118;2166;2167;2262;2263;2354;2355;2356;2364;2365;2810;2811;2812;2900;2901;2929;2930;2931;2932;2933;2985;2986;3111;3112;3183;3184;3310;3311;3411;3412;3549;3550;3556;3557;3558;3559	139;166;167;280;281;282;283;413;414;415;471;636;637;638;639;640;641;651;739;898;899;1015;1083;1084;1085;1086;1087;1088;1089;1273;1274;1288;1300;1301;1320;1321;1407;1437;1501;1572;1573;1579;1580;1881;1882;1883;1925;1944;1983;1984;2074;2115;2116;2192;2262;2345;2350	139;167;280;413;414;471;640;641;651;739;898;1015;1088;1273;1288;1301;1320;1321;1407;1437;1501;1572;1579;1882;1925;1944;1984;2074;2116;2192;2262;2345;2350	76	1793

ENSMODG00000008182|ENSMODT00000010363	ENSMODG00000008182|ENSMODT00000010363	1	1	1	ENSMODG00000008182|ENSMODT00000010363	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	3.6	3.6	3.6	38.475	330	330	1	-2	By matching	By MS/MS	By MS/MS		By matching	3.6	3.6	3.6	0	3.6	100030000	74797	63200000	33084000	0	3670800	0	0	0	0	706290	0	0	0	0	0	0	+			117	970	True	1034	2651;2652;2653;2654	1783;1784	1784	77	312

ENSMODG00000008362|ENSMODT00000042922;ENSMODG00000008362|ENSMODT00000010594;ENSMODG00000012714|ENSMODT00000016199;ENSMODG00000024488|ENSMODT00000035922	ENSMODG00000008362|ENSMODT00000042922;ENSMODG00000008362|ENSMODT00000010594;ENSMODG00000012714|ENSMODT00000016199	13;13;7;1	13;13;7;1	13;13;7;1	ENSMODG00000008362|ENSMODT00000042922;ENSMODG00000008362|ENSMODT00000010594;ENSMODG00000012714|ENSMODT00000016199	4	13	13	13	0	9	12	5	0	0	9	12	5	0	0	9	12	5	0	60.5	60.5	60.5	19.419	177	177;177;170;119	0	147.68		By MS/MS	By MS/MS	By MS/MS		0	50.8	58.8	33.9	0	186910000	0	5898600	180010000	1004500	0	0	76999	3898800	102270	0	0	3	14	3	0	20				118	165;166;167;180;201;358;359;364;365;469;1215;1216;1311	True;True;True;True;True;True;True;True;True;True;True;True;True	175;176;177;191;220;386;387;392;393;507;1289;1290;1393	505;506;507;508;509;510;511;512;537;601;602;603;1045;1046;1047;1048;1049;1050;1051;1060;1061;1336;1337;1338;1339;1340;3313;3314;3315;3560;3561;3562	329;330;331;332;333;353;399;400;676;677;678;679;686;687;873;874;875;876;2194;2195;2351	329;330;332;353;400;676;678;686;687;874;2194;2195;2351		

ENSMODG00000008387|ENSMODT00000010627	ENSMODG00000008387|ENSMODT00000010627	3	3	3	ENSMODG00000008387|ENSMODT00000010627	1	3	3	3	0	3	0	0	0	0	3	0	0	0	0	3	0	0	0	16.3	16.3	16.3	32.499	282	282	0	49.297		By MS/MS				0	16.3	0	0	0	1257800	0	1257800	0	0	0	0	17042	0	0	0	0	3	0	0	0	3				119	410;1089;1443	True;True;True	444;1157;1532	1171;2965;3914	763;1968;2577	763;1968;2577		

ENSMODG00000008402|ENSMODT00000010656;ENSMODG00000018992|ENSMODT00000024126	ENSMODG00000008402|ENSMODT00000010656;ENSMODG00000018992|ENSMODT00000024126	15;11	15;11	15;11	ENSMODG00000008402|ENSMODT00000010656;ENSMODG00000018992|ENSMODT00000024126	2	15	15	15	0	8	15	3	6	0	8	15	3	6	0	8	15	3	6	43.9	43.9	43.9	48.819	442	442;396	0	233.54		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	24.4	43.9	7.7	17.6	41270000	0	12054000	28262000	535490	417710	0	22479	685520	30820	155220	0	2	17	1	3	23				120	233;274;533;557;599;618;621;629;778;819;895;974;1084;1085;1259	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	254;297;298;572;596;641;662;666;675;827;869;948;1038;1151;1152;1153;1337	696;697;698;808;809;810;1488;1489;1490;1491;1492;1547;1548;1549;1669;1670;1671;1715;1716;1733;1734;1735;1736;1754;2170;2308;2487;2660;2661;2662;2952;2953;2954;2955;3416;3417;3418;3419	463;530;531;982;983;984;1030;1110;1143;1156;1157;1158;1171;1440;1535;1657;1788;1959;1960;1961;2266;2267;2268	463;531;983;1030;1110;1143;1157;1171;1440;1535;1657;1788;1959;1961;2267	78;79	29;261

ENSMODG00000008669|ENSMODT00000010998	ENSMODG00000008669|ENSMODT00000010998	10	9	7	ENSMODG00000008669|ENSMODT00000010998	1	10	9	7	0	8	8	5	7	0	7	7	5	6	0	5	5	3	5	30.9	30.9	23.3	27.186	236	236	0	77.339		By MS/MS	By MS/MS	By MS/MS	By MS/MS	0	26.3	26.3	18.6	27.1	62290000	0	19868000	36205000	4252600	1964100	0	369240	986590	169490	176910	0	2	7	3	3	15				121	54;189;486;960;963;1354;1412;1433;1434;1453	True;True;True;False;True;True;True;True;True;True	55;205;525;1023;1026;1439;1440;1500;1522;1523;1543	136;137;138;139;140;565;566;1388;1389;1390;2620;2621;2622;2623;2624;2625;2626;2634;2635;2636;3678;3679;3680;3681;3682;3683;3684;3827;3828;3829;3895;3896;3897;3898;3899;3935	96;97;98;377;914;1755;1756;1757;1758;1759;1760;1761;1766;1767;2430;2431;2432;2519;2563;2564;2565;2566;2594	97;377;914;1755;1766;2430;2519;2564;2565;2594	80	85

ENSMODG00000008679|ENSMODT00000011012;ENSMODG00000010492|ENSMODT00000013385	ENSMODG00000008679|ENSMODT00000011012	7;3	7;3	7;3	ENSMODG00000008679|ENSMODT00000011012	2	7	7	7	0	5	7	1	5	0	5	7	1	5	0	5	7	1	5	12.8	12.8	12.8	68.916	664	664;622	0	89.644		By matching	By MS/MS	By MS/MS	By MS/MS	0	11.3	12.8	2.1	9.8	50556000	0	1269700	47321000	454540	1511600	0	21302	1020000	0	269970	0	0	11	1	3	15				122	22;56;443;1005;1098;1270;1271	True;True;True;True;True;True;True	22;57;478;1071;1166;1348;1349;1350	56;57;144;145;1258;1259;1260;1261;2727;2728;2729;2987;2988;3438;3439;3440;3441;3442;3443;3444;3445;3446;3447;3448	42;43;100;817;818;819;1834;1985;1986;2280;2281;2282;2283;2284;2285	42;100;819;1834;1986;2281;2284	81	405

ENSMODG00000008710|ENSMODT00000011061;ENSMODG00000015048|ENSMODT00000019160;ENSMODG00000002189|ENSMODT00000035828	ENSMODG00000008710|ENSMODT00000011061	9;3;1	9;3;1	9;3;1	ENSMODG00000008710|ENSMODT00000011061	3	9	9	9	1	8	8	0	5	1	8	8	0	5	1	8	8	0	5	5.9	5.9	5.9	271.14	2550	2550;2726;2692	0	84.408	By matching	By MS/MS	By MS/MS		By MS/MS	0.7	5.2	5.2	0	3.5	3679500	11784	1200800	1907700	0	559190	0	23053	20698	0	121830	0	5	1	0	2	8				123	285;321;435;436;491;519;1194;1404;1410	True;True;True;True;True;True;True;True;True	310;347;470;471;530;558;1268;1492;1498	841;842;843;938;1237;1238;1239;1240;1241;1242;1397;1398;1457;1458;1459;3261;3262;3263;3811;3812;3823;3824	553;614;804;805;920;958;2165;2508;2516	553;614;804;805;920;958;2165;2508;2516		

ENSMODG00000008764|ENSMODT00000011125	ENSMODG00000008764|ENSMODT00000011125	1	1	1	ENSMODG00000008764|ENSMODT00000011125	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	2.8	2.8	2.8	61.086	565	565	0	6.8563		By matching	By MS/MS		By matching	0	2.8	2.8	0	2.8	224380	0	102340	98450	0	23591	0	0	0	0	4539.1	0	0	1	0	0	1				124	1203	True	1277	3280;3281;3282	2175	2175		

ENSMODG00000008794|ENSMODT00000011162	ENSMODG00000008794|ENSMODT00000011162	1	1	1	ENSMODG00000008794|ENSMODT00000011162	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	2.1	2.1	2.1	112.17	993	993	0	51.813		By MS/MS	By MS/MS	By MS/MS	By matching	0	2.1	2.1	2.1	2.1	676360	0	336010	210410	84730	45211	0	0	0	0	8699.1	0	1	1	1	0	3				125	21	True	21	52;53;54;55	39;40;41	41		

ENSMODG00000008926|ENSMODT00000011342;ENSMODG00000000490|ENSMODT00000000597	ENSMODG00000008926|ENSMODT00000011342	4;1	4;1	4;1	ENSMODG00000008926|ENSMODT00000011342	2	4	4	4	1	4	4	1	1	1	4	4	1	1	1	4	4	1	1	9.9	9.9	9.9	59.608	534	534;491	0	40.908	By matching	By MS/MS	By MS/MS	By matching	By matching	2.6	9.9	9.9	2.6	2.6	3399000	30933	2903200	363970	28002	72902	0	39129	8163.1	0	0	0	4	1	0	0	5				126	39;64;141;1482	True;True;True;True	40;65;150;1574	100;101;172;173;174;175;176;443;444;3999;4000	70;119;120;284;2640	70;120;284;2640		

ENSMODG00000008928|ENSMODT00000011345	ENSMODG00000008928|ENSMODT00000011345	3	2	2	ENSMODG00000008928|ENSMODT00000011345	1	3	2	2	0	2	3	0	0	0	2	2	0	0	0	2	2	0	0	4.4	2.8	2.8	85.148	777	777	0	13.652		By MS/MS	By matching			0	2.8	4.4	0	0	766910	0	530820	236090	0	0	0	7096.6	5257.3	0	0	0	2	0	0	0	2				127	101;324;1299	False;True;True	107;350;1381	304;950;951;3532;3533	197;620;2335	197;620;2335		

ENSMODG00000008993|ENSMODT00000011435;ENSMODG00000013903|ENSMODT00000017713	ENSMODG00000008993|ENSMODT00000011435;ENSMODG00000013903|ENSMODT00000017713	1;1	1;1	1;1	ENSMODG00000008993|ENSMODT00000011435;ENSMODG00000013903|ENSMODT00000017713	2	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	3.6	3.6	3.6	52.42	469	469;477	0	9.2447			By MS/MS			0	0	3.6	0	0	377490	0	0	377490	0	0	0	0	8254	0	0	0	0	1	0	0	1				128	838	True	888	2338	1559	1559		

ENSMODG00000009114|ENSMODT00000011586	ENSMODG00000009114|ENSMODT00000011586	1	1	1	ENSMODG00000009114|ENSMODT00000011586	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	9.2	9.2	9.2	13.343	119	119	0	6.7998		By MS/MS	By MS/MS			0	9.2	9.2	0	0	5129500	0	3267000	1862400	0	0	0	43617	41369	0	0	0	1	1	0	0	2				129	109	True	117	341;342;343;344	217;218	218		

ENSMODG00000009209|ENSMODT00000011712;ENSMODG00000023165|ENSMODT00000030279;ENSMODG00000009218|ENSMODT00000011727	ENSMODG00000009209|ENSMODT00000011712;ENSMODG00000023165|ENSMODT00000030279;ENSMODG00000009218|ENSMODT00000011727	1;1;1	1;1;1	1;1;1	ENSMODG00000009209|ENSMODT00000011712;ENSMODG00000023165|ENSMODT00000030279;ENSMODG00000009218|ENSMODT00000011727	3	1	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	14.9	14.9	14.9	11.626	114	114;116;116	0	15.71		By MS/MS				0	14.9	0	0	0	1444500	0	1444500	0	0	0	0	19571	0	0	0	0	1	0	0	0	1				130	690	True	739	1920	1289	1289		

ENSMODG00000009270|ENSMODT00000011801	ENSMODG00000009270|ENSMODT00000011801	10	10	10	ENSMODG00000009270|ENSMODT00000011801	1	10	10	10	2	9	0	0	0	2	9	0	0	0	2	9	0	0	0	18.3	18.3	18.3	88.682	791	791	0	94.822	By MS/MS	By MS/MS				3.5	17.2	0	0	0	3944400	250590	3693800	0	0	0	0	50045	0	0	0	2	9	0	0	0	11				131	126;382;615;987;988;1052;1254;1262;1401;1409	True;True;True;True;True;True;True;True;True;True	135;410;658;1053;1054;1118;1332;1340;1489;1497	406;1096;1705;2687;2688;2689;2861;3406;3424;3804;3805;3822	256;710;1136;1806;1807;1905;2259;2271;2504;2505;2515	256;710;1136;1806;1807;1905;2259;2271;2504;2515		

ENSMODG00000009399|ENSMODT00000011965;ENSMODG00000015295|ENSMODT00000019446	ENSMODG00000009399|ENSMODT00000011965;ENSMODG00000015295|ENSMODT00000019446	1;1	1;1	1;1	ENSMODG00000009399|ENSMODT00000011965;ENSMODG00000015295|ENSMODT00000019446	2	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	5.5	5.5	5.5	34.547	307	307;560	0	7.8839			By MS/MS			0	0	5.5	0	0	137870	0	0	137870	0	0	0	0	3014.6	0	0	0	0	1	0	0	1				132	767	True	816	2145	1425	1425		

ENSMODG00000009436|ENSMODT00000012018	ENSMODG00000009436|ENSMODT00000012018	1	1	1	ENSMODG00000009436|ENSMODT00000012018	1	1	1	1	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	3.2	3.2	3.2	48.266	439	439	0	8.6604		By MS/MS	By matching			0	3.2	3.2	0	0	433770	0	396590	37182	0	0	0	0	812.99	0	0	0	1	0	0	0	1				133	910	True	966	2515;2516	1679	1679		

ENSMODG00000009818|ENSMODT00000012504	ENSMODG00000009818|ENSMODT00000012504	9	9	9	ENSMODG00000009818|ENSMODT00000012504	1	9	9	9	2	5	5	2	4	2	5	5	2	4	2	5	5	2	4	21.4	21.4	21.4	52.162	454	454	0	60.565	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	4.6	11.2	11.9	5.3	11.5	7198400	450530	4135500	2132300	119110	360990	372200	113540	52813	0	75687	2	3	3	1	4	13				134	224;301;628;734;782;844;1008;1239;1324	True;True;True;True;True;True;True;True;True	245;327;674;783;831;832;894;1074;1315;1407	671;672;673;883;1751;1752;1753;2056;2193;2194;2195;2196;2197;2198;2352;2353;2734;2735;3373;3593;3594;3595;3596	448;580;1170;1373;1463;1464;1570;1571;1838;2233;2368;2369;2370	448;580;1170;1373;1463;1571;1838;2233;2368	82	142

ENSMODG00000009867|ENSMODT00000012574	ENSMODG00000009867|ENSMODT00000012574	6	6	6	ENSMODG00000009867|ENSMODT00000012574	1	6	6	6	0	2	5	2	2	0	2	5	2	2	0	2	5	2	2	11.1	11.1	11.1	78.966	720	720	0	80.401		By matching	By MS/MS	By MS/MS	By MS/MS	0	3.2	9.6	3.2	4.7	5129600	0	81987	4738700	225430	83544	0	1715.3	113890	5444	0	0	0	5	1	1	7				135	832;1013;1019;1122;1325;1484	True;True;True;True;True;True	882;1079;1085;1193;1194;1408;1576	2331;2746;2762;3053;3054;3055;3056;3597;4002;4003;4004	1553;1845;1853;2034;2035;2371;2642	1553;1845;1853;2034;2371;2642	83	128

